#{"t_start": 1713419021.8955479, "env_id": "None"}
r,l,t
13.970079,2737,502.322701
13.970079,2737,503.274098
13.970079,2737,504.33006
13.970079,2737,505.40703
33.972853,2737,506.810794
33.972853,2737,507.68879
33.972853,2737,508.558194
33.972853,2737,509.438275
33.972853,2737,510.311986
76.229998,2737,511.690474
76.229998,2737,512.566002
76.229998,2737,513.441438
76.229998,2737,514.319838
76.229998,2737,515.312756
6.741499,2737,517.070385
6.741499,2737,518.112594
6.741499,2737,519.173708
6.741499,2737,520.368972
6.741499,2737,521.32224
242.822863,2737,522.818676
242.822863,2737,523.762631
242.822863,2737,524.793296
242.822863,2737,525.794052
242.822863,2737,526.749355
142.474291,2737,528.249287
142.474291,2737,529.17948
142.474291,2737,530.080182
142.474291,2737,530.971788
142.474291,2737,531.865548
240.164095,2737,533.287088
240.164095,2737,534.318714
240.164095,2737,535.222034
240.164095,2737,536.117768
240.164095,2737,537.012509
74.668592,2737,538.407083
74.668592,2737,539.300068
74.668592,2737,540.197285
74.668592,2737,541.091376
74.668592,2737,541.982368
97.044298,2737,543.436735
97.044298,2737,544.39695
97.044298,2737,545.294517
97.044298,2737,546.19504
97.044298,2737,547.096866
255.58123,2737,548.459125
255.58123,2737,549.465506
255.58123,2737,550.363722
255.58123,2737,551.26042
255.58123,2737,552.154033
230.590004,2737,553.592395
230.590004,2737,554.484302
230.590004,2737,555.371565
230.590004,2737,556.255237
230.590004,2737,557.139899
68.017218,2737,558.619268
68.017218,2737,559.573495
68.017218,2737,560.467716
68.017218,2737,561.357123
68.017218,2737,562.245811
40.41151,2737,563.640832
40.41151,2737,564.695597
40.41151,2737,565.583613
40.41151,2737,566.509758
40.41151,2737,567.445374
92.728609,2737,568.796976
92.728609,2737,569.662549
92.728609,2737,570.526369
92.728609,2737,571.381705
92.728609,2737,572.23928
100.892899,2737,573.630001
100.892899,2737,574.498887
100.892899,2737,575.371578
100.892899,2737,576.232695
100.892899,2737,577.095294
247.901436,2737,578.48432
247.901436,2737,579.537581
247.901436,2737,580.467131
247.901436,2737,581.325824
247.901436,2737,582.186844
104.837177,2737,583.596979
104.837177,2737,584.504919
104.837177,2737,585.401309
104.837177,2737,586.289159
104.837177,2737,587.176032
102.037107,2737,588.579499
102.037107,2737,589.483797
102.037107,2737,590.457384
102.037107,2737,591.364462
102.037107,2737,592.255364
18.842934,2737,593.68632
18.842934,2737,594.717802
18.842934,2737,595.61678
18.842934,2737,596.503729
18.842934,2737,597.388706
108.502853,2737,598.786368
108.502853,2737,599.681351
108.502853,2737,600.565246
108.502853,2737,601.448017
108.502853,2737,602.330002
101.787111,2737,603.748429
101.787111,2737,604.638242
101.787111,2737,605.527722
101.787111,2737,606.418405
101.787111,2737,607.300147
315.514297,2737,608.689295
315.514297,2737,609.692325
315.514297,2737,610.551182
315.514297,2737,611.41068
315.514297,2737,612.270441
101.274252,2737,613.667363
101.274252,2737,614.555668
101.274252,2737,615.436845
101.274252,2737,616.315437
101.274252,2737,617.195385
23.947197,2737,618.542997
23.947197,2737,619.399917
23.947197,2737,620.256423
23.947197,2737,621.16539
23.947197,2737,622.094379
100.751469,2737,623.465335
100.751469,2737,624.532945
100.751469,2737,625.425361
100.751469,2737,626.338718
100.751469,2737,627.195269
100.751469,2737,628.582126
100.751469,2737,629.466711
100.751469,2737,630.353875
100.751469,2737,631.233441
100.751469,2737,632.113639
288.573034,2737,633.538917
288.573034,2737,634.425334
288.573034,2737,635.308227
288.573034,2737,636.191133
288.573034,2737,637.069719
102.498615,2737,638.450754
102.498615,2737,639.510397
102.498615,2737,640.423481
102.498615,2737,641.274715
102.498615,2737,642.128156
264.534309,2737,643.476032
264.534309,2737,644.336026
264.534309,2737,645.195243
264.534309,2737,646.055419
264.534309,2737,646.913825
96.942871,2737,648.315721
96.942871,2737,649.182015
96.942871,2737,650.053452
96.942871,2737,650.924493
96.942871,2737,651.79031
87.032871,2737,653.36206
87.032871,2737,654.3685
87.032871,2737,655.259834
87.032871,2737,656.139306
87.032871,2737,657.025134
278.141649,2737,658.3892
278.141649,2737,659.247852
278.141649,2737,660.108783
278.141649,2737,660.968085
278.141649,2737,661.828018
102.945734,2737,663.167334
102.945734,2737,664.027387
102.945734,2737,664.888897
102.945734,2737,665.754642
102.945734,2737,666.61846
297.087358,2737,667.990126
297.087358,2737,668.855884
297.087358,2737,669.860775
297.087358,2737,670.716958
297.087358,2737,671.575482
276.908785,2737,672.906411
276.908785,2737,673.766119
276.908785,2737,674.628286
276.908785,2737,675.487205
