#{"t_start": 1713166468.71797, "env_id": "None"}
r,l,t
-0.365393,2757,930.042028
-0.365393,2757,931.606089
-0.365393,2757,933.164379
-0.365393,2757,935.016555
-0.365393,2757,936.583543
1.443679,2757,939.027736
1.443679,2757,940.559087
1.443679,2757,942.093004
1.443679,2757,943.60766
1.443679,2757,945.136653
-0.802294,2757,947.663947
-0.802294,2757,949.261169
-0.802294,2757,950.85757
-0.802294,2757,952.429823
-0.802294,2757,954.006497
1.132523,2757,956.45879
1.132523,2757,957.971899
1.132523,2757,959.474317
1.132523,2757,960.967727
1.132523,2757,962.505838
4.075298,2757,964.89329
4.075298,2757,966.655197
4.075298,2757,968.223579
4.075298,2757,969.836084
4.075298,2757,971.435519
2.903123,2757,974.217594
2.903123,2757,975.870445
2.903123,2757,977.501622
2.903123,2757,979.182778
2.903123,2757,980.994331
14.66187,2757,983.520953
14.66187,2757,985.133998
14.66187,2757,987.020674
14.66187,2757,988.615632
14.66187,2757,990.201409
4.642289,2757,992.970402
4.642289,2757,994.603035
4.642289,2757,996.182793
4.642289,2757,997.716012
4.642289,2757,999.240583
4.815433,2757,1001.716063
4.815433,2757,1003.313906
4.815433,2757,1004.900347
4.815433,2757,1006.489018
4.815433,2757,1008.086094
13.200489,2757,1010.539707
13.200489,2757,1012.052869
13.200489,2757,1013.55666
13.200489,2757,1015.095294
13.200489,2757,1016.620553
16.922246,2757,1019.413968
16.922246,2757,1020.907614
16.922246,2757,1022.428241
16.922246,2757,1023.928982
16.922246,2757,1025.435949
3.518926,2757,1027.85439
3.518926,2757,1029.33877
3.518926,2757,1030.884778
3.518926,2757,1032.413448
3.518926,2757,1033.907004
1.805274,2757,1036.324565
1.805274,2757,1037.838319
1.805274,2757,1039.352978
1.805274,2757,1040.87206
1.805274,2757,1042.372956
5.333431,2757,1045.407664
5.333431,2757,1047.327821
5.333431,2757,1049.212592
5.333431,2757,1051.132405
5.333431,2757,1052.753071
2.260967,2757,1055.488205
2.260967,2757,1057.359791
2.260967,2757,1058.941807
2.260967,2757,1060.501807
2.260967,2757,1062.583661
11.45921,2757,1065.415575
11.45921,2757,1067.160018
11.45921,2757,1068.735768
11.45921,2757,1070.652751
11.45921,2757,1072.596983
10.955621,2757,1075.967443
10.955621,2757,1077.798386
10.955621,2757,1079.581069
10.955621,2757,1081.353722
10.955621,2757,1083.13068
4.481001,2757,1086.079514
4.481001,2757,1087.724837
4.481001,2757,1089.296387
4.481001,2757,1090.85463
4.481001,2757,1092.415784
-0.677481,2757,1094.870076
-0.677481,2757,1096.415426
-0.677481,2757,1097.958423
-0.677481,2757,1099.488115
-0.677481,2757,1101.015128
4.126679,2757,1103.506259
4.126679,2757,1105.074648
4.126679,2757,1106.631732
4.126679,2757,1108.279504
4.126679,2757,1110.191218
5.530262,2757,1113.438993
5.530262,2757,1115.116173
5.530262,2757,1116.694264
5.530262,2757,1118.408188
